"Reference","Value","Footprint","DNP","LCSC"
"J8","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J9","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J10","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J11","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J12","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J13","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J14","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J15","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J16","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J17","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J18","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J19","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J20","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J21","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J22","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J23","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J24","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J25","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J26","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J27","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J28","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J29","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J30","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J31","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J32","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"TP1","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP2","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP3","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP4","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP5","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP6","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP7","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP8","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP9","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP10","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP11","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP12","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP13","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP14","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP15","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"TP16","TestPoint","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"C1","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"C2","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C3","22pF","Capacitor_SMD:C_0402_1005Metric","",""
"C4","22pF","Capacitor_SMD:C_0402_1005Metric","",""
"C5","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"C6","1nF","Capacitor_SMD:C_0402_1005Metric","",""
"C7","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"C8","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C9","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"J1","Conn_01x01_Pin","Connector_PinHeader_1.27mm:PinHeader_1x01_P1.27mm_Vertical","",""
"J7","Conn_01x01_Pin","Connector_PinHeader_1.27mm:PinHeader_1x01_P1.27mm_Vertical","",""
"J9","Conn_01x01_Pin","Connector_PinHeader_1.27mm:PinHeader_1x01_P1.27mm_Vertical","",""
"J10","Conn_01x01_Pin","Connector_PinHeader_1.27mm:PinHeader_1x01_P1.27mm_Vertical","",""
"J11","Conn_01x01_Pin","Connector_PinHeader_1.27mm:PinHeader_1x01_P1.27mm_Vertical","",""
"J12","Conn_01x01_Pin","Connector_PinHeader_1.27mm:PinHeader_1x01_P1.27mm_Vertical","",""
"J13","Conn_01x01_Pin","Connector_PinHeader_1.27mm:PinHeader_1x01_P1.27mm_Vertical","",""
"J14","Conn_01x01_Pin","Connector_PinHeader_1.27mm:PinHeader_1x01_P1.27mm_Vertical","",""
"JP2","SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm","",""
"R1","10K","Capacitor_SMD:C_0402_1005Metric","",""
"R2","10M","Capacitor_SMD:C_0402_1005Metric","",""
"U1","ADS1293CISQE-NOPB","00_Custom:ADS1293CISQE","",""
"U2","AP2112K-3.3TRG1","00_lcsc:SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL","","C51118"
"Y1","Crystal","Crystal:Crystal_SMD_HC49-SD","",""
"C1","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C2","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C3","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C4","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"C5","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C6","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"C7","1.5nF","Capacitor_SMD:C_0402_1005Metric","",""
"C8","10uF","Capacitor_SMD:C_0402_1005Metric","",""
"C9","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"C10","1nF","Capacitor_SMD:C_0402_1005Metric","",""
"C11","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C12","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C13","10uF","Capacitor_SMD:C_0402_1005Metric","",""
"C14","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"C15","22uF","Capacitor_SMD:C_0402_1005Metric","",""
"J1","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J2","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J3","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J4","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J5","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J6","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J7","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J8","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J9","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J10","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J11","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J12","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J13","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J14","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J15","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J16","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J17","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J18","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J19","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J20","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J21","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J22","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J23","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J24","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J25","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J26","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"R1","1M","Capacitor_SMD:C_0402_1005Metric","",""
"R2","10K","Capacitor_SMD:C_0402_1005Metric","",""
"SW1","TS-1088R-02026","00_lcsc:SW-SMD_L3.9-W3.0-P4.45","","C455280"
"U1","AP2112K-3.3TRG1","00_custom-footprints:SOT95P285X140-5N","",""
"U2","ADS1298CZXGT","00_lcsc:NFBGA-64_L8.0-W8.0-R8-C8-P0.80-TL","","C882732"
"C1","10uF","Capacitor_SMD:C_0402_1005Metric","",""
"C2","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"C3","10nF","Capacitor_SMD:C_0402_1005Metric","",""
"C4","100pF","Capacitor_SMD:C_0402_1005Metric","",""
"C5","100pF","Capacitor_SMD:C_0402_1005Metric","",""
"C6","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C7","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C8","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C9","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"C10","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C11","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C12","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"C13","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C14","100n","Capacitor_SMD:C_0402_1005Metric","",""
"C15","1u","Capacitor_SMD:C_0402_1005Metric","",""
"J1","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J2","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J3","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J4","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J5","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J6","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J7","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J8","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"R1","2k","Resistor_SMD:R_0402_1005Metric","",""
"R2","10k","Resistor_SMD:R_0402_1005Metric","",""
"R3","330","Resistor_SMD:R_0402_1005Metric","",""
"R4","4k","Resistor_SMD:R_0402_1005Metric","",""
"R5","4k","Resistor_SMD:R_0402_1005Metric","",""
"R6","10k","Resistor_SMD:R_0402_1005Metric","",""
"R7","10k","Resistor_SMD:R_0402_1005Metric","",""
"R8","100k","Resistor_SMD:R_0402_1005Metric","",""
"R9","1M","Resistor_SMD:R_0402_1005Metric","",""
"R10","1k","Resistor_SMD:R_0402_1005Metric","",""
"R11","100k","Resistor_SMD:R_0402_1005Metric","",""
"R12","1k","Resistor_SMD:R_0402_1005Metric","",""
"R13","0","Resistor_SMD:R_0402_1005Metric","",""
"R14","0","Resistor_SMD:R_0402_1005Metric","",""
"TP1","TestPoint","00_custom-footprints:TestPoint_Pad_D1.0mm","",""
"TP2","TestPoint","00_custom-footprints:TestPoint_Pad_D1.0mm","",""
"U1","INA331IDGKR","00_lcsc:VSSOP-8_L3.0-W3.0-P0.65-LS5.0-BL","","C2863664"
"U2","OPA333","00_lcsc:SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR","","C3007938"
"U3","AP2112K-3.3TRG1","00_lcsc:SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL","","C51118"
"U4","OPA333","00_lcsc:SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR","","C3007938"
"U5","CJ432","00_lcsc:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","","C2910208"
"U6","LIS3DHTR","00_lcsc:LGA-16_L3.0-W3.0-P0.50-TL","","C15134"
"C1","4.7uF","Capacitor_SMD:C_0402_1005Metric","",""
"J1","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J2","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J3","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J4","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J5","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J6","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J7","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J8","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J9","Conn_01x01_Pin","00_custom-footprints:TestPoint_Pad_D1.0mm","",""
"J10","Conn_01x01_Pin","00_custom-footprints:TestPoint_Pad_D1.0mm","",""
"J15","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J16","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J17","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J18","Conn_01x01_Pin","00_custom-footprints:TestPoint_Pad_D1.0mm","",""
"J19","Conn_01x01_Pin","00_custom-footprints:TestPoint_Pad_D1.0mm","",""
"J24","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"Q1","AO4882_C3040598","00_lcsc:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","","C3040598"
"Q2","AO4882_C3040598","00_lcsc:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","","C3040598"
"R1","1k","Resistor_SMD:R_0402_1005Metric","",""
"R2","10K","Resistor_SMD:R_0402_1005Metric","",""
"R3","1k","Resistor_SMD:R_0402_1005Metric","",""
"R4","2k","Resistor_SMD:R_0402_1005Metric","",""
"R5","2k","Resistor_SMD:R_0402_1005Metric","",""
"R6","1k","Resistor_SMD:R_0402_1005Metric","",""
"R7","1k","Resistor_SMD:R_0402_1005Metric","",""
"R8","2k","Resistor_SMD:R_0402_1005Metric","",""
"R9","2k","Resistor_SMD:R_0402_1005Metric","",""
"SW1","TS-1088R-02026","00_lcsc:SW-SMD_L3.9-W3.0-P4.45","","C455280"
"U1","DS12W-MS","00_lcsc:SOD-123FL_L2.7-W1.8-LS3.8-RD","","C5120757"
"U2","DS12W-MS","00_lcsc:SOD-123FL_L2.7-W1.8-LS3.8-RD","","C5120757"
"U3","DS12W-MS","00_lcsc:SOD-123FL_L2.7-W1.8-LS3.8-RD","","C5120757"
"U4","HC32L110C6UA-SFN20TR","00_lcsc:WQFN-20_L3.0-W3.0-P0.40-BL-EP","","C493490"
"U5","DS12W-MS","00_lcsc:SOD-123FL_L2.7-W1.8-LS3.8-RD","","C5120757"
"C1","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C2","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C5","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"J1","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J2","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J3","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J4","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J5","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J6","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J7","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J8","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J9","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J10","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J11","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J12","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J13","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J14","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J15","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J16","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J17","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J18","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"R1","4.7k","Resistor_SMD:R_0402_1005Metric","",""
"R2","4.7k","Resistor_SMD:R_0402_1005Metric","",""
"R3","4.7k","Resistor_SMD:R_0402_1005Metric","",""
"R4","4.7k","Resistor_SMD:R_0402_1005Metric","",""
"R5","4.7k","Resistor_SMD:R_0402_1005Metric","",""
"R6","4.7k","Resistor_SMD:R_0402_1005Metric","",""
"R7","4.7k","Resistor_SMD:R_0402_1005Metric","",""
"R8","4.7k","Resistor_SMD:R_0402_1005Metric","",""
"U1","MCP1700T-1802E/TT","00_lcsc:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","","C150796"
"U3","BSS138BKS","00_lcsc:SOT-363_L2.1-W1.3-P0.65-LS2.3-BL","","C5224290"
"U4","ICM-20948","Package_DFN_QFN:QFN-24-1EP_3x3mm_P0.4mm_EP1.75x1.6mm","","C726001"
"U5","BSS138BKS","00_lcsc:SOT-363_L2.1-W1.3-P0.65-LS2.3-BL","","C5224290"
"J1","jack2.5_PJ-210B","00_custom-footprints:Jack_Socket_PJ-210B","",""
"J2","jack2.5_PJ-210B","00_custom-footprints:Jack_Socket_PJ-210B","",""
"J3","jack2.5_PJ-210B","00_custom-footprints:Jack_Socket_PJ-210B","",""
"J4","jack2.5_PJ-210B","00_custom-footprints:Jack_Socket_PJ-210B","",""
"J5","jack2.5_PJ-210B","00_custom-footprints:Jack_Socket_PJ-210B","",""
"J6","jack2.5_PJ-210B","00_custom-footprints:Jack_Socket_PJ-210B","",""
"J7","jack2.5_PJ-210B","00_custom-footprints:Jack_Socket_PJ-210B","",""
"J8","jack2.5_PJ-210B","00_custom-footprints:Jack_Socket_PJ-210B","",""
"J9","jack2.5_PJ-210B","00_custom-footprints:Jack_Socket_PJ-210B","",""
"J10","Conn_01x01_Pin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","",""
"J11","Conn_01x01_Pin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","",""
"J12","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J13","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J14","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J15","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J16","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J17","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J18","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J19","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J20","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J21","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J22","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J23","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J24","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J25","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J26","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J27","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"C3","2.2uF","Capacitor_SMD:C_0402_1005Metric","",""
"C4","22uF","Capacitor_SMD:C_0402_1005Metric","",""
"C5","22nF","Capacitor_SMD:C_0402_1005Metric","",""
"C6","10nF","Capacitor_SMD:C_0402_1005Metric","",""
"C7","2.2uF - 16V ceramic X7R","Capacitor_SMD:C_0603_1608Metric","",""
"J1","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J2","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J3","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J4","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J5","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
